Open,High,Low,Close,Adj_close,Volume,Date,Stock_Name
96.129997,96.239998,94.949997,95.459999,89.719955,2278200.0,2018-09-27T00:00:00,COF
94.830002,95.709999,94.580002,94.93,89.221817,2708400.0,2018-09-28T00:00:00,COF
95.580002,96.290001,94.690002,94.949997,89.240623,2703200.0,2018-10-01T00:00:00,COF
95.150002,95.919998,94.650002,95.529999,89.785744,1987000.0,2018-10-02T00:00:00,COF
96.190002,97.32,95.889999,96.730003,90.913589,2660600.0,2018-10-03T00:00:00,COF
96.75,98.139999,95.889999,96.629997,90.819595,2829700.0,2018-10-04T00:00:00,COF
97.129997,97.25,95.75,96.059998,90.28389,1986400.0,2018-10-05T00:00:00,COF
95.75,96.910004,94.940002,96.43,90.63163,2694300.0,2018-10-08T00:00:00,COF
96.190002,96.589996,95.480003,96.0,90.227478,2081600.0,2018-10-09T00:00:00,COF
96.199997,96.779999,93.510002,93.57,87.943611,2803900.0,2018-10-10T00:00:00,COF
93.089996,93.68,90.889999,90.940002,85.471748,2957800.0,2018-10-11T00:00:00,COF
92.900002,93.269997,89.339996,90.790001,85.33078,3555300.0,2018-10-12T00:00:00,COF
90.589996,91.370003,89.900002,90.550003,85.105209,2461600.0,2018-10-15T00:00:00,COF
91.010002,91.809998,89.970001,91.629997,86.120255,1851400.0,2018-10-16T00:00:00,COF
91.550003,92.290001,90.370003,91.480003,85.979294,2393100.0,2018-10-17T00:00:00,COF
91.25,92.300003,90.099998,90.349998,84.917229,2089200.0,2018-10-18T00:00:00,COF
90.400002,92.269997,90.07,91.629997,86.120255,2299800.0,2018-10-19T00:00:00,COF
91.07,91.870003,88.510002,88.540001,83.216064,2656000.0,2018-10-22T00:00:00,COF
86.809998,87.449997,85.510002,87.040001,81.806252,6864400.0,2018-10-23T00:00:00,COF
88.489998,90.300003,85.669998,85.860001,80.69722,6766200.0,2018-10-24T00:00:00,COF
86.639999,89.050003,86.099998,88.269997,82.962288,4032900.0,2018-10-25T00:00:00,COF
87.25,87.489998,84.940002,85.75,80.593819,3918000.0,2018-10-26T00:00:00,COF
86.760002,88.160004,85.139999,86.459999,81.261131,4185200.0,2018-10-29T00:00:00,COF
86.849998,87.93,85.949997,87.839996,82.558144,2824700.0,2018-10-30T00:00:00,COF
88.860001,90.230003,88.620003,89.300003,83.930359,3450300.0,2018-10-31T00:00:00,COF
89.309998,89.860001,88.769997,89.300003,83.930359,2128800.0,2018-11-01T00:00:00,COF
89.300003,89.849998,86.860001,87.269997,82.022415,4372900.0,2018-11-02T00:00:00,COF
87.690002,88.610001,87.690002,88.050003,82.755516,4166800.0,2018-11-05T00:00:00,COF
87.849998,89.440002,87.650002,89.18,83.817566,2894800.0,2018-11-06T00:00:00,COF
89.739998,90.690002,88.580002,90.540001,85.095802,2045400.0,2018-11-07T00:00:00,COF
89.900002,91.480003,89.800003,90.860001,85.775513,1814400.0,2018-11-08T00:00:00,COF
90.269997,90.989998,89.870003,90.400002,85.341255,1755400.0,2018-11-09T00:00:00,COF
90.449997,90.889999,88.93,89.120003,84.132904,1749800.0,2018-11-12T00:00:00,COF
89.580002,90.959999,89.330002,89.900002,84.86924,2026300.0,2018-11-13T00:00:00,COF
90.769997,91.440002,88.0,88.919998,83.944069,2414700.0,2018-11-14T00:00:00,COF
88.239998,89.489998,87.529999,89.160004,84.170654,2886000.0,2018-11-15T00:00:00,COF
88.519997,88.769997,87.43,87.639999,82.735703,3519700.0,2018-11-16T00:00:00,COF
87.919998,88.190002,86.830002,87.730003,82.820671,2202000.0,2018-11-19T00:00:00,COF
87.230003,87.360001,85.510002,86.010002,81.196915,2790400.0,2018-11-20T00:00:00,COF
86.220001,87.730003,85.709999,86.440002,81.602852,1859700.0,2018-11-21T00:00:00,COF
85.75,86.480003,85.32,85.629997,80.838181,723000.0,2018-11-23T00:00:00,COF
86.860001,88.339996,86.610001,87.970001,83.047234,2682900.0,2018-11-26T00:00:00,COF
87.800003,88.610001,87.480003,88.190002,83.254936,1806000.0,2018-11-27T00:00:00,COF
